Date,Time,Weight,Min,Max,Length,Min,Max,Counter,Printed Text,Status
2025-07-16,10:46:20,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,1,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:53:41,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:50:42,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:50:52,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,1,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:50:55,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,2,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:50:56,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,3,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:51:07,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,4,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:52:54,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,5,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:52:57,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,6,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:53:00,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,7,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:53:36,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,8,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:53:51,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,9,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:53:54,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,10,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:54:54,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,11,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:55:39,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,12,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:55:44,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,13,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:57:02,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,14,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,11:57:13,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,15,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
